date,slice_label,OT
1641449779455 ,191,1.039898872
1641449779465 ,191,0.936541498
1641449779475 ,191,0.975897074
1641449779485 ,191,0.971515894
1641449779495 ,191,0.991135061
1641449779505 ,191,1.025840044
1641449779515 ,191,1.096914649
1641449779525 ,191,1.107424498
1641449779535 ,191,1.117016077
1641449779545 ,191,1.062994003
1641449779555 ,191,0.964828491
1641449779565 ,191,0.774059713
1641449779575 ,191,0.829423666
1641449779585 ,191,0.81253159
1641449779595 ,191,0.745527685
1641449779605 ,191,0.769021988
1641449779615 ,191,0.657889068
1641449779625 ,191,0.687900722
1641449779635 ,191,0.61887598
1641449779645 ,191,0.700546384
1641449779655 ,191,0.659398854
1641449779665 ,191,0.713999271
1641449779675 ,191,0.646006763
1641449779685 ,191,0.670161307
1641449779695 ,191,0.624477684
1641449779705 ,191,0.606897652
1641449779715 ,191,0.655531645
1641449779725 ,191,0.638854206
1641449779735 ,191,0.718328297
1641449779745 ,191,0.669956088
1641449779755 ,191,0.676521242
1641449779765 ,191,0.62766248
1641449779775 ,191,0.616156161
1641449779785 ,191,0.605147243
1641449779795 ,191,0.623096585
1641449779805 ,191,0.587905467
1641449779815 ,191,0.594804227
1641449779825 ,191,0.582924545
1641449779835 ,191,0.641214192
1641449779845 ,191,0.618468702
1641449779855 ,191,0.777309775
1641449779865 ,191,0.849704206
1641449779875 ,191,1.015309691
1641449779885 ,191,1.009517312
1641449779895 ,191,1.01415658
1641449779905 ,191,1.07463038
1641449779915 ,191,1.036604404
1641449779925 ,191,1.112523198
1641449779935 ,191,1.096615076
1641449779945 ,191,1.154801846
1641449779955 ,191,1.11486876
1641449779965 ,191,1.103487253
1641449779975 ,191,1.046559691
1641449779985 ,191,0.989464223
1641449779995 ,191,0.985306561
1641449780005 ,191,0.959148526
1641449780015 ,191,0.961072922
1641449780025 ,191,0.934665799
1641449780035 ,191,0.940008521
1641449780045 ,191,0.932164013
1641449780055 ,191,1.002114773
1641449780065 ,191,0.992932737
1641449780075 ,191,1.038526177
1641449780085 ,191,0.989703655
1641449780095 ,191,0.996268809
1641449780105 ,191,0.901344538
1641449780115 ,191,0.960009813
1641449780125 ,191,0.955967784
1641449780135 ,191,0.988119006
1641449780145 ,191,1.009772658
1641449780155 ,191,1.02320528
1641449780165 ,191,1.085264325
1641449780175 ,191,0.961457729
